57, 1, 5, 57, 56
58, 56, 57, 58, 55
59, 55, 58, 59, 54
60, 54, 59, 60, 53
61, 53, 60, 61, 52
62, 52, 61, 62, 51
63, 51, 62, 63, 50
64, 50, 63, 64, 49
65, 49, 64, 48, 4
66, 5, 6, 65, 57
67, 57, 65, 66, 58
68, 58, 66, 67, 59
69, 59, 67, 68, 60
70, 60, 68, 69, 61
71, 61, 69, 70, 62
72, 62, 70, 71, 63
73, 63, 71, 72, 64
74, 64, 72, 47, 48
75, 6, 7, 73, 65
76, 65, 73, 74, 66
77, 66, 74, 75, 67
78, 67, 75, 76, 68
79, 68, 76, 77, 69
80, 69, 77, 78, 70
81, 70, 78, 79, 71
82, 71, 79, 80, 72
83, 72, 80, 46, 47
84, 7, 8, 81, 73
85, 73, 81, 82, 74
86, 74, 82, 83, 75
87, 75, 83, 84, 76
88, 76, 84, 85, 77
89, 77, 85, 86, 78
90, 78, 86, 87, 79
91, 79, 87, 88, 80
92, 80, 88, 45, 46
93, 8, 9, 89, 81
94, 81, 89, 90, 82
95, 82, 90, 91, 83
96, 83, 91, 92, 84
97, 84, 92, 93, 85
98, 85, 93, 94, 86
99, 86, 94, 95, 87
100, 87, 95, 96, 88
101, 88, 96, 44, 45
102, 9, 10, 97, 89
103, 89, 97, 98, 90
104, 90, 98, 99, 91
105, 91, 99, 100, 92
106, 92, 100, 101, 93
107, 93, 101, 102, 94
108, 94, 102, 103, 95
109, 95, 103, 104, 96
110, 96, 104, 43, 44
111, 10, 11, 105, 97
112, 97, 105, 106, 98
113, 98, 106, 107, 99
114, 99, 107, 108, 100
115, 100, 108, 109, 101
116, 101, 109, 110, 102
117, 102, 110, 111, 103
118, 103, 111, 112, 104
119, 104, 112, 42, 43
120, 11, 12, 113, 105
121, 105, 113, 114, 106
122, 106, 114, 115, 107
123, 107, 115, 116, 108
124, 108, 116, 117, 109
125, 109, 117, 118, 110
126, 110, 118, 119, 111
127, 111, 119, 120, 112
128, 112, 120, 41, 42
129, 12, 13, 121, 113
130, 113, 121, 122, 114
131, 114, 122, 123, 115
132, 115, 123, 124, 116
133, 116, 124, 125, 117
134, 117, 125, 126, 118
135, 118, 126, 127, 119
136, 119, 127, 128, 120
137, 120, 128, 40, 41
138, 13, 14, 129, 121
139, 121, 129, 130, 122
140, 122, 130, 131, 123
141, 123, 131, 132, 124
142, 124, 132, 133, 125
143, 125, 133, 134, 126
144, 126, 134, 135, 127
145, 127, 135, 136, 128
146, 128, 136, 39, 40
147, 14, 15, 137, 129
148, 129, 137, 138, 130
149, 130, 138, 139, 131
150, 131, 139, 140, 132
151, 132, 140, 141, 133
152, 133, 141, 142, 134
153, 134, 142, 143, 135
154, 135, 143, 144, 136
155, 136, 144, 38, 39
156, 15, 16, 145, 137
157, 137, 145, 146, 138
158, 138, 146, 147, 139
159, 139, 147, 148, 140
160, 140, 148, 149, 141
161, 141, 149, 150, 142
162, 142, 150, 151, 143
163, 143, 151, 152, 144
164, 144, 152, 37, 38
165, 16, 17, 153, 145
166, 145, 153, 154, 146
167, 146, 154, 155, 147
168, 147, 155, 156, 148
169, 148, 156, 157, 149
170, 149, 157, 158, 150
171, 150, 158, 159, 151
172, 151, 159, 160, 152
173, 152, 160, 36, 37
174, 17, 18, 161, 153
175, 153, 161, 162, 154
176, 154, 162, 163, 155
177, 155, 163, 164, 156
178, 156, 164, 165, 157
179, 157, 165, 166, 158
180, 158, 166, 167, 159
181, 159, 167, 168, 160
182, 160, 168, 35, 36
183, 18, 19, 169, 161
184, 161, 169, 170, 162
185, 162, 170, 171, 163
186, 163, 171, 172, 164
187, 164, 172, 173, 165
188, 165, 173, 174, 166
189, 166, 174, 175, 167
190, 167, 175, 176, 168
191, 168, 176, 34, 35
192, 19, 20, 177, 169
193, 169, 177, 178, 170
194, 170, 178, 179, 171
195, 171, 179, 180, 172
196, 172, 180, 181, 173
197, 173, 181, 182, 174
198, 174, 182, 183, 175
199, 175, 183, 184, 176
200, 176, 184, 33, 34
201, 20, 21, 185, 177
202, 177, 185, 186, 178
203, 178, 186, 187, 179
204, 179, 187, 188, 180
205, 180, 188, 189, 181
206, 181, 189, 190, 182
207, 182, 190, 191, 183
208, 183, 191, 192, 184
209, 184, 192, 32, 33
210, 21, 22, 193, 185
211, 185, 193, 194, 186
212, 186, 194, 195, 187
213, 187, 195, 196, 188
214, 188, 196, 197, 189
215, 189, 197, 198, 190
216, 190, 198, 199, 191
217, 191, 199, 200, 192
218, 192, 200, 31, 32
219, 22, 2, 23, 193
220, 193, 23, 24, 194
221, 194, 24, 25, 195
222, 195, 25, 26, 196
223, 196, 26, 27, 197
224, 197, 27, 28, 198
225, 198, 28, 29, 199
226, 199, 29, 30, 200
227, 200, 30, 3, 31
