57, 1, 5, 103, 23, 257, 112
58, 103, 5, 113, 257, 258, 259
59, 103, 113, 114, 259, 260, 261
60, 114, 102, 103, 262, 111, 261
61, 102, 114, 101, 262, 263, 110
62, 101, 114, 115, 263, 264, 265
63, 101, 115, 116, 265, 266, 267
64, 116, 100, 101, 268, 109, 267
65, 100, 116, 99, 268, 269, 108
66, 99, 116, 117, 269, 270, 271
67, 99, 117, 118, 271, 272, 273
68, 118, 98, 99, 274, 107, 273
69, 98, 118, 97, 274, 275, 106
70, 97, 118, 119, 275, 276, 277
71, 97, 119, 120, 277, 278, 279
72, 120, 96, 97, 280, 105, 279
73, 96, 120, 4, 280, 281, 104
74, 4, 120, 76, 281, 282, 95
75, 5, 6, 121, 24, 283, 284
76, 121, 113, 5, 285, 258, 284
77, 113, 121, 114, 285, 286, 260
78, 114, 121, 122, 286, 287, 288
79, 114, 122, 123, 288, 289, 290
80, 123, 115, 114, 291, 264, 290
81, 115, 123, 116, 291, 292, 266
82, 116, 123, 124, 292, 293, 294
83, 116, 124, 125, 294, 295, 296
84, 125, 117, 116, 297, 270, 296
85, 117, 125, 118, 297, 298, 272
86, 118, 125, 126, 298, 299, 300
87, 118, 126, 127, 300, 301, 302
88, 127, 119, 118, 303, 276, 302
89, 119, 127, 120, 303, 304, 278
90, 120, 127, 128, 304, 305, 306
91, 120, 128, 75, 306, 307, 308
92, 75, 76, 120, 94, 282, 308
93, 6, 7, 121, 25, 309, 283
94, 121, 7, 129, 309, 310, 311
95, 121, 129, 130, 311, 312, 313
96, 130, 122, 121, 314, 287, 313
97, 122, 130, 123, 314, 315, 289
98, 123, 130, 131, 315, 316, 317
99, 123, 131, 132, 317, 318, 319
100, 132, 124, 123, 320, 293, 319
101, 124, 132, 125, 320, 321, 295
102, 125, 132, 133, 321, 322, 323
103, 125, 133, 134, 323, 324, 325
104, 134, 126, 125, 326, 299, 325
105, 126, 134, 127, 326, 327, 301
106, 127, 134, 135, 327, 328, 329
107, 127, 135, 136, 329, 330, 331
108, 136, 128, 127, 332, 305, 331
109, 128, 136, 75, 332, 333, 307
110, 75, 136, 74, 333, 334, 93
111, 7, 8, 137, 26, 335, 336
112, 137, 129, 7, 337, 310, 336
113, 129, 137, 130, 337, 338, 312
114, 130, 137, 138, 338, 339, 340
115, 130, 138, 139, 340, 341, 342
116, 139, 131, 130, 343, 316, 342
117, 131, 139, 132, 343, 344, 318
118, 132, 139, 140, 344, 345, 346
119, 132, 140, 141, 346, 347, 348
120, 141, 133, 132, 349, 322, 348
121, 133, 141, 134, 349, 350, 324
122, 134, 141, 142, 350, 351, 352
123, 134, 142, 143, 352, 353, 354
124, 143, 135, 134, 355, 328, 354
125, 135, 143, 136, 355, 356, 330
126, 136, 143, 144, 356, 357, 358
127, 136, 144, 73, 358, 359, 360
128, 73, 74, 136, 92, 334, 360
129, 8, 9, 137, 27, 361, 335
130, 137, 9, 145, 361, 362, 363
131, 137, 145, 146, 363, 364, 365
132, 146, 138, 137, 366, 339, 365
133, 138, 146, 139, 366, 367, 341
134, 139, 146, 147, 367, 368, 369
135, 139, 147, 148, 369, 370, 371
136, 148, 140, 139, 372, 345, 371
137, 140, 148, 141, 372, 373, 347
138, 141, 148, 149, 373, 374, 375
139, 141, 149, 150, 375, 376, 377
140, 150, 142, 141, 378, 351, 377
141, 142, 150, 143, 378, 379, 353
142, 143, 150, 151, 379, 380, 381
143, 143, 151, 152, 381, 382, 383
144, 152, 144, 143, 384, 357, 383
145, 144, 152, 73, 384, 385, 359
146, 73, 152, 72, 385, 386, 91
147, 9, 10, 153, 28, 387, 388
148, 153, 145, 9, 389, 362, 388
149, 145, 153, 146, 389, 390, 364
150, 146, 153, 154, 390, 391, 392
151, 146, 154, 155, 392, 393, 394
152, 155, 147, 146, 395, 368, 394
153, 147, 155, 148, 395, 396, 370
154, 148, 155, 156, 396, 397, 398
155, 148, 156, 157, 398, 399, 400
156, 157, 149, 148, 401, 374, 400
157, 149, 157, 150, 401, 402, 376
158, 150, 157, 158, 402, 403, 404
159, 150, 158, 159, 404, 405, 406
160, 159, 151, 150, 407, 380, 406
161, 151, 159, 152, 407, 408, 382
162, 152, 159, 160, 408, 409, 410
163, 152, 160, 71, 410, 411, 412
164, 71, 72, 152, 90, 386, 412
165, 10, 11, 153, 29, 413, 387
166, 153, 11, 161, 413, 414, 415
167, 153, 161, 162, 415, 416, 417
168, 162, 154, 153, 418, 391, 417
169, 154, 162, 155, 418, 419, 393
170, 155, 162, 163, 419, 420, 421
171, 155, 163, 164, 421, 422, 423
172, 164, 156, 155, 424, 397, 423
173, 156, 164, 157, 424, 425, 399
174, 157, 164, 165, 425, 426, 427
175, 157, 165, 166, 427, 428, 429
176, 166, 158, 157, 430, 403, 429
177, 158, 166, 159, 430, 431, 405
178, 159, 166, 167, 431, 432, 433
179, 159, 167, 168, 433, 434, 435
180, 168, 160, 159, 436, 409, 435
181, 160, 168, 71, 436, 437, 411
182, 71, 168, 70, 437, 438, 89
183, 11, 12, 169, 30, 439, 440
184, 169, 161, 11, 441, 414, 440
185, 161, 169, 162, 441, 442, 416
186, 162, 169, 170, 442, 443, 444
187, 162, 170, 171, 444, 445, 446
188, 171, 163, 162, 447, 420, 446
189, 163, 171, 164, 447, 448, 422
190, 164, 171, 172, 448, 449, 450
191, 164, 172, 173, 450, 451, 452
192, 173, 165, 164, 453, 426, 452
193, 165, 173, 166, 453, 454, 428
194, 166, 173, 174, 454, 455, 456
195, 166, 174, 175, 456, 457, 458
196, 175, 167, 166, 459, 432, 458
197, 167, 175, 168, 459, 460, 434
198, 168, 175, 176, 460, 461, 462
199, 168, 176, 69, 462, 463, 464
200, 69, 70, 168, 88, 438, 464
201, 12, 13, 169, 31, 465, 439
202, 169, 13, 177, 465, 466, 467
203, 169, 177, 178, 467, 468, 469
204, 178, 170, 169, 470, 443, 469
205, 170, 178, 171, 470, 471, 445
206, 171, 178, 179, 471, 472, 473
207, 171, 179, 180, 473, 474, 475
208, 180, 172, 171, 476, 449, 475
209, 172, 180, 173, 476, 477, 451
210, 173, 180, 181, 477, 478, 479
211, 173, 181, 182, 479, 480, 481
212, 182, 174, 173, 482, 455, 481
213, 174, 182, 175, 482, 483, 457
214, 175, 182, 183, 483, 484, 485
215, 175, 183, 184, 485, 486, 487
216, 184, 176, 175, 488, 461, 487
217, 176, 184, 69, 488, 489, 463
218, 69, 184, 68, 489, 490, 87
219, 13, 14, 185, 32, 491, 492
220, 185, 177, 13, 493, 466, 492
221, 177, 185, 178, 493, 494, 468
222, 178, 185, 186, 494, 495, 496
223, 178, 186, 187, 496, 497, 498
224, 187, 179, 178, 499, 472, 498
225, 179, 187, 180, 499, 500, 474
226, 180, 187, 188, 500, 501, 502
227, 180, 188, 189, 502, 503, 504
228, 189, 181, 180, 505, 478, 504
229, 181, 189, 182, 505, 506, 480
230, 182, 189, 190, 506, 507, 508
231, 182, 190, 191, 508, 509, 510
232, 191, 183, 182, 511, 484, 510
233, 183, 191, 184, 511, 512, 486
234, 184, 191, 192, 512, 513, 514
235, 184, 192, 67, 514, 515, 516
236, 67, 68, 184, 86, 490, 516
237, 14, 15, 185, 33, 517, 491
238, 185, 15, 193, 517, 518, 519
239, 185, 193, 194, 519, 520, 521
240, 194, 186, 185, 522, 495, 521
241, 186, 194, 187, 522, 523, 497
242, 187, 194, 195, 523, 524, 525
243, 187, 195, 196, 525, 526, 527
244, 196, 188, 187, 528, 501, 527
245, 188, 196, 189, 528, 529, 503
246, 189, 196, 197, 529, 530, 531
247, 189, 197, 198, 531, 532, 533
248, 198, 190, 189, 534, 507, 533
249, 190, 198, 191, 534, 535, 509
250, 191, 198, 199, 535, 536, 537
251, 191, 199, 200, 537, 538, 539
252, 200, 192, 191, 540, 513, 539
253, 192, 200, 67, 540, 541, 515
254, 67, 200, 66, 541, 542, 85
255, 15, 16, 201, 34, 543, 544
256, 201, 193, 15, 545, 518, 544
257, 193, 201, 194, 545, 546, 520
258, 194, 201, 202, 546, 547, 548
259, 194, 202, 203, 548, 549, 550
260, 203, 195, 194, 551, 524, 550
261, 195, 203, 196, 551, 552, 526
262, 196, 203, 204, 552, 553, 554
263, 196, 204, 205, 554, 555, 556
264, 205, 197, 196, 557, 530, 556
265, 197, 205, 198, 557, 558, 532
266, 198, 205, 206, 558, 559, 560
267, 198, 206, 207, 560, 561, 562
268, 207, 199, 198, 563, 536, 562
269, 199, 207, 200, 563, 564, 538
270, 200, 207, 208, 564, 565, 566
271, 200, 208, 65, 566, 567, 568
272, 65, 66, 200, 84, 542, 568
273, 16, 17, 201, 35, 569, 543
274, 201, 17, 209, 569, 570, 571
275, 201, 209, 210, 571, 572, 573
276, 210, 202, 201, 574, 547, 573
277, 202, 210, 203, 574, 575, 549
278, 203, 210, 211, 575, 576, 577
279, 203, 211, 212, 577, 578, 579
280, 212, 204, 203, 580, 553, 579
281, 204, 212, 205, 580, 581, 555
282, 205, 212, 213, 581, 582, 583
283, 205, 213, 214, 583, 584, 585
284, 214, 206, 205, 586, 559, 585
285, 206, 214, 207, 586, 587, 561
286, 207, 214, 215, 587, 588, 589
287, 207, 215, 216, 589, 590, 591
288, 216, 208, 207, 592, 565, 591
289, 208, 216, 65, 592, 593, 567
290, 65, 216, 64, 593, 594, 83
291, 17, 18, 217, 36, 595, 596
292, 217, 209, 17, 597, 570, 596
293, 209, 217, 210, 597, 598, 572
294, 210, 217, 218, 598, 599, 600
295, 210, 218, 219, 600, 601, 602
296, 219, 211, 210, 603, 576, 602
297, 211, 219, 212, 603, 604, 578
298, 212, 219, 220, 604, 605, 606
299, 212, 220, 221, 606, 607, 608
300, 221, 213, 212, 609, 582, 608
301, 213, 221, 214, 609, 610, 584
302, 214, 221, 222, 610, 611, 612
303, 214, 222, 223, 612, 613, 614
304, 223, 215, 214, 615, 588, 614
305, 215, 223, 216, 615, 616, 590
306, 216, 223, 224, 616, 617, 618
307, 216, 224, 63, 618, 619, 620
308, 63, 64, 216, 82, 594, 620
309, 18, 19, 217, 37, 621, 595
310, 217, 19, 225, 621, 622, 623
311, 217, 225, 226, 623, 624, 625
312, 226, 218, 217, 626, 599, 625
313, 218, 226, 219, 626, 627, 601
314, 219, 226, 227, 627, 628, 629
315, 219, 227, 228, 629, 630, 631
316, 228, 220, 219, 632, 605, 631
317, 220, 228, 221, 632, 633, 607
318, 221, 228, 229, 633, 634, 635
319, 221, 229, 230, 635, 636, 637
320, 230, 222, 221, 638, 611, 637
321, 222, 230, 223, 638, 639, 613
322, 223, 230, 231, 639, 640, 641
323, 223, 231, 232, 641, 642, 643
324, 232, 224, 223, 644, 617, 643
325, 224, 232, 63, 644, 645, 619
326, 63, 232, 62, 645, 646, 81
327, 19, 20, 233, 38, 647, 648
328, 233, 225, 19, 649, 622, 648
329, 225, 233, 226, 649, 650, 624
330, 226, 233, 234, 650, 651, 652
331, 226, 234, 235, 652, 653, 654
332, 235, 227, 226, 655, 628, 654
333, 227, 235, 228, 655, 656, 630
334, 228, 235, 236, 656, 657, 658
335, 228, 236, 237, 658, 659, 660
336, 237, 229, 228, 661, 634, 660
337, 229, 237, 230, 661, 662, 636
338, 230, 237, 238, 662, 663, 664
339, 230, 238, 239, 664, 665, 666
340, 239, 231, 230, 667, 640, 666
341, 231, 239, 232, 667, 668, 642
342, 232, 239, 240, 668, 669, 670
343, 232, 240, 61, 670, 671, 672
344, 61, 62, 232, 80, 646, 672
345, 20, 21, 233, 39, 673, 647
346, 233, 21, 241, 673, 674, 675
347, 233, 241, 242, 675, 676, 677
348, 242, 234, 233, 678, 651, 677
349, 234, 242, 235, 678, 679, 653
350, 235, 242, 243, 679, 680, 681
351, 235, 243, 244, 681, 682, 683
352, 244, 236, 235, 684, 657, 683
353, 236, 244, 237, 684, 685, 659
354, 237, 244, 245, 685, 686, 687
355, 237, 245, 246, 687, 688, 689
356, 246, 238, 237, 690, 663, 689
357, 238, 246, 239, 690, 691, 665
358, 239, 246, 247, 691, 692, 693
359, 239, 247, 248, 693, 694, 695
360, 248, 240, 239, 696, 669, 695
361, 240, 248, 61, 696, 697, 671
362, 61, 248, 60, 697, 698, 79
363, 21, 22, 249, 40, 699, 700
364, 249, 241, 21, 701, 674, 700
365, 241, 249, 242, 701, 702, 676
366, 242, 249, 250, 702, 703, 704
367, 242, 250, 251, 704, 705, 706
368, 251, 243, 242, 707, 680, 706
369, 243, 251, 244, 707, 708, 682
370, 244, 251, 252, 708, 709, 710
371, 244, 252, 253, 710, 711, 712
372, 253, 245, 244, 713, 686, 712
373, 245, 253, 246, 713, 714, 688
374, 246, 253, 254, 714, 715, 716
375, 246, 254, 255, 716, 717, 718
376, 255, 247, 246, 719, 692, 718
377, 247, 255, 248, 719, 720, 694
378, 248, 255, 256, 720, 721, 722
379, 248, 256, 59, 722, 723, 724
380, 59, 60, 248, 78, 698, 724
381, 22, 2, 249, 41, 725, 699
382, 249, 2, 42, 725, 50, 726
383, 249, 42, 43, 726, 51, 727
384, 43, 250, 249, 728, 703, 727
385, 250, 43, 251, 728, 729, 705
386, 251, 43, 44, 729, 52, 730
387, 251, 44, 45, 730, 53, 731
388, 45, 252, 251, 732, 709, 731
389, 252, 45, 253, 732, 733, 711
390, 253, 45, 46, 733, 54, 734
391, 253, 46, 47, 734, 55, 735
392, 47, 254, 253, 736, 715, 735
393, 254, 47, 255, 736, 737, 717
394, 255, 47, 48, 737, 56, 738
395, 255, 48, 49, 738, 57, 739
396, 49, 256, 255, 740, 721, 739
397, 256, 49, 59, 740, 741, 723
398, 59, 49, 3, 741, 58, 77
